Date,Team,Opponent,Competition,Result,Goals
2007-09-01,Los Angeles,Salt Lake,MLS,L 1-2,0
2007-09-09,USA,Brazil,Friendly,L 4-2,0
2007-09-13,Los Angeles,Chivas USA,MLS,L 3-0,0
2007-09-16,Los Angeles,Houston,MLS,L 1-3,0
2007-09-19,Los Angeles,Salt Lake,MLS,D 2-2,1
2007-09-23,Los Angeles,Dallas,MLS,W 2-1,1
2007-09-27,Los Angeles,Kansas City,MLS,W 0-1,0
2007-09-30,Los Angeles,Columbus,MLS,W 1-2,0
2007-10-07,Los Angeles,Houston,MLS,W 1-2,0
2007-10-13,Los Angeles,Toronto,MLS,W 2-1,1
2007-10-18,Los Angeles,NY Red Bulls,MLS,D 1-1,0
2007-10-21,Los Angeles,Chicago,MLS,L 1-0,0
2008-01-19,USA,Sweden,Friendly,W 2-0,1
2008-02-06,USA,Mexico,Friendly,D 2-2,0
2008-03-26,USA,Poland,Friendly,W 0-3,0
2008-03-29,Los Angeles,Colorado,MLS,L 4-0,0
2008-04-03,Los Angeles,San Jose,MLS,W 2-0,1
2008-04-13,Los Angeles,Toronto,MLS,L 2-3,2
2008-04-19,Los Angeles,Houston,MLS,D 2-2,2
2008-04-26,Los Angeles,Chivas USA,MLS,W 5-2,3
2008-05-03,Los Angeles,Salt Lake,MLS,D 2-2,0
2008-05-10,Los Angeles,NY Red Bulls,MLS,L 1-2,0
2008-05-18,Los Angeles,Dallas,MLS,W 1-5,0
2008-05-24,Los Angeles,Kansas City,MLS,W 3-1,1
2008-06-08,USA,Argentina,Friendly,D 0-0,0
2008-06-15,USA,Barbados,WCQ,W 8-0,1
2008-06-21,Los Angeles,Columbus,MLS,D 3-3,2
2008-06-29,Los Angeles,DC United,MLS,L 4-1,0
2008-07-04,Los Angeles,New England,MLS,L 1-2,0
2008-07-10,Los Angeles,Chivas USA,MLS,D 1-1,0
2008-07-19,Los Angeles,NY Red Bulls,MLS,D 2-2,1
2008-07-24,MLS All-Star,West Ham,All-Star,W 3-2,0
2008-07-27,Los Angeles,Dallas,MLS,L 4-0,0
2008-08-03,Los Angeles,San Jose,MLS,L 3-2,1
2008-08-14,Los Angeles,Chivas USA,MLS,D 2-2,1
2008-08-20,USA,Guatemala,WCQ,W 0-1,0
2008-08-30,Los Angeles,New England,MLS,D 2-2,2
2008-09-06,USA,Cuba,WCQ,W 0-1,0
2008-09-10,USA,Trin & Tob,WCQ,W 3-0,0
2008-09-13,Los Angeles,Kansas City,MLS,L 2-0,0
2008-09-20,Los Angeles,DC United,MLS,W 5-2,3
2008-09-25,Los Angeles,Chicago,MLS,L 3-1,0
2008-10-04,Los Angeles,Columbus,MLS,L 1-0,0
2008-10-11,USA,Cuba,WCQ,W 6-1,1
2008-10-12,Los Angeles,Colorado,MLS,W 3-2,0
2008-10-18,Los Angeles,Houston,MLS,L 3-0,0
2008-10-26,Los Angeles,Dallas,MLS,D 2-2,1
2009-01-27,Bayern,Stuttgart,Ger Cup,W 1-5,0
2009-01-30,Bayern,Hamburg SV,Bundesliga,L 1-0,0
2009-02-08,Bayern,Dortmund,Bundesliga,W 3-1,0
2009-02-11,USA,Mexico,WCQ,W 2-0,0
2009-02-14,Bayern,Hertha,Bundesliga,L 2-1,0
2009-02-21,Bayern,Cologne,Bundesliga,L 1-2,0
2009-03-01,Bayern,Bremen,Bundesliga,D 0-0,0
2009-03-07,Bayern,Hannover 96,Bundesliga,W 5-1,0
2009-03-22,Los Angeles,DC United,MLS,D 2-2,2
2009-03-28,USA,El Salvador,WCQ,D 2-2,0
2009-04-01,USA,Trin & Tob,WCQ,W 3-0,0
2009-04-04,Los Angeles,Colorado,MLS,L 2-3,0
2009-04-11,Los Angeles,Chivas USA,MLS,D 0-0,0
2009-04-18,Los Angeles,San Jose,MLS,D 1-1,0
2009-04-25,Los Angeles,Colorado,MLS,D 1-1,1
2009-05-02,Los Angeles,NY Red Bulls,MLS,W 1-0,1
2009-05-06,Los Angeles,Salt Lake,MLS,D 2-2,1
